id,餐廳名稱,餐廳評價,餐廳地址,餐廳連結
56,福丸早餐,4.4,臺北市中正區杭州南路一段131巷35之1號1樓,https://ifoodie.tw/restaurant/5e1342862756dd0e3c6eb05d-%E7%A6%8F%E4%B8%B8%E6%97%A9%E9%A4%90
57,YumYum 好吃好吃2號店,3.9,臺北市中正區羅斯福路三段316巷16號2樓,https://ifoodie.tw/restaurant/5dd358658c906d1ce32e9354-YumYum-%E5%A5%BD%E5%90%83%E5%A5%BD%E5%90%832%E8%99%9F%E5%BA%97
58,藍家割包,3.9,臺北市中正區羅斯福路三段316巷8弄3號,https://ifoodie.tw/restaurant/559d7bc3c03a103ee86c7e94-%E8%97%8D%E5%AE%B6%E5%89%B2%E5%8C%85
59,阿春涼麵,4.2,臺北市中正區中華路二段401號,https://ifoodie.tw/restaurant/592b11232756dd474fdd59af-%E9%98%BF%E6%98%A5%E6%B6%BC%E9%BA%B5
60,新東南海鮮餐廳,4.3,臺北市中正區汀州路一段105號,https://ifoodie.tw/restaurant/559d7dedc03a103ee86c7fce-%E6%96%B0%E6%9D%B1%E5%8D%97%E6%B5%B7%E9%AE%AE%E9%A4%90%E5%BB%B3
61,泰讚了 thai like tea 公館店,4.5,臺北市中正區羅斯福路三段286巷18號,https://ifoodie.tw/restaurant/632328a07cc7fc29b3e9fdde-%E6%B3%B0%E8%AE%9A%E4%BA%86-thai-like-tea-%E5%85%AC%E9%A4%A8
62,Coppii Lumii living coffee 冉冉生活 城中,4.2,臺北市中正區永綏街7號,https://ifoodie.tw/restaurant/61933a7c873d790429c1f093-Coppii-Lumii-living-
63,上海鄉村餐廳 濟南店,4.4,臺北市中正區濟南路二段37號,https://ifoodie.tw/restaurant/559d4f4cc03a103ee86c6160-%E4%B8%8A%E6%B5%B7%E9%84%89%E6%9D%91%E9%A4%90%E5%BB%B3-%E6%BF%9F%E5%8D%97%E5%BA%97
64,阿玉白糖粿,4.5,臺北市中正區新生南路一段12巷9弄5號,https://ifoodie.tw/restaurant/632086167cc7fc29b3e443c8-%E9%98%BF%E7%8E%89%E7%99%BD%E7%B3%96%E7%B2%BF
65,焦糖楓漢方無烟撒粉串燒 同安店,4.5,臺北市中正區同安街38號,https://ifoodie.tw/restaurant/5e3251618c906d5297beb578-%E7%84%A6%E7%B3%96%E6%A5%93%E6%BC%A2%E6%96%B9%E7%84%A1%E7%83%9F%E6%92%92%E7%B2%89%E4%B8%B2%E7%87%92-%E5%90%8C%E5%AE%89%E5%BA%97
66,龍潭豆花,4.2,臺北市中正區汀州路三段239號,https://ifoodie.tw/restaurant/559d4851c03a103ee86c5cd5-%E9%BE%8D%E6%BD%AD%E8%B1%86%E8%8A%B1
