address,distance,latitude_longitude
臺北市中正區羅斯福路三段284巷10號,"正門:2957公尺,後門:3100公尺,側門:3036公尺","25.015967,121.531804"
臺北市中正區汀州路三段81號,"正門:2717公尺,後門:2855公尺,側門:2802公尺","25.0176908,121.5287425"
臺北市中正區濟南路二段18之3號,"正門:132公尺,後門:282公尺,側門:190公尺","25.0410911,121.5265497"
臺北市中正區北平西路3號,"正門:1137公尺,後門:1004公尺,側門:1136公尺","25.0473199,121.5160463"
臺北市中正區衡陽路46號,"正門:1345公尺,後門:1272公尺,側門:1397公尺","25.0420174,121.5122878"
臺北市中正區延平南路101巷5號,"正門:1474公尺,後門:1394公尺,側門:1522公尺","25.04268,121.511029"
臺北市中正區仁愛路二段7號,"正門:382公尺,後門:520公尺,側門:474公尺","25.0385041,121.5258217"
臺北市中正區羅斯福路四段24巷14號,"正門:3091公尺,後門:3236公尺,側門:3169公尺","25.0149221,121.5327484"
臺北市中正區中華路二段309巷44號,"正門:2385公尺,後門:2403公尺,側門:2480公尺","25.0292036,121.5065997"
臺北市中正區南海路28號,"正門:1443公尺,後門:1494公尺,側門:1545公尺","25.032234,121.516129"
臺北市中正區忠孝西路一段126號,"正門:1607公尺,後門:1488公尺,側門:1622公尺","25.0474238,121.5108841"
臺北市中正區秀山街4號,"正門:1634公尺,後門:1555公尺,側門:1683公尺","25.0425228,121.5094326"
臺北市中正區青島西路13號,"正門:878公尺,後門:759公尺,側門:894公尺","25.0450638,121.5176335"
臺北市中正區北平西路三號一樓,"正門:1149公尺,後門:1016公尺,側門:1148公尺","25.0473892,121.5159555"
臺北市中正區忠孝東路二段33號,"正門:312公尺,後門:312公尺,側門:213公尺","25.0439111,121.5278014"
臺北市中正區汀州路三段283號,"正門:3452公尺,後門:3599公尺,側門:3526公尺","25.0122685,121.5356061"
臺北市中正區泉州街11號,"正門:1703公尺,後門:1742公尺,側門:1803公尺","25.031331,121.513444"
