store_name,address,Latitude,Longitude
貳樓餐廳Second Floor Cafe,臺北市中正區北平西路3號,25.0473199,121.5160463
大三元酒樓,臺北市中正區衡陽路46號,25.0420174,121.5122878
蘇記餃子館,臺北市中正區延平南路101巷5號,25.04268,121.511029
興鐵板燒,臺北市中正區仁愛路二段7號,25.0385041,121.5258217
快樂檸檬Happylemon 公館旗艦店,臺北市中正區羅斯福路四段24巷14號,25.0149221,121.5327484
超能量鱸魚湯,臺北市中正區中華路二段309巷44號,25.0292036,121.5065997
柳州螺螄粉,臺北市中正區南海路28號,25.032234,121.516129
MKCR 山小孩咖啡,臺北市中正區忠孝西路一段126號,25.0474238,121.5108841
魅麗海 中庭餐廳 (德立莊店),臺北市中正區秀山街4號,25.0425228,121.5094326
青島飯團,臺北市中正區青島西路13號,25.0450638,121.5176335
三統漢菓子 台北車站店,臺北市中正區北平西路三號一樓,25.0473892,121.5159555
文慶雞,臺北市中正區忠孝東路二段33號,25.0439111,121.5278014
壹森泰食堂~師大第一腿(公館店）,臺北市中正區汀州路三段283號,25.0122685,121.5356061
林家乾麵店,臺北市中正區泉州街11號,25.031331,121.513444
油条 黃金牛肉粉,臺北市中正區南海路17號,25.0321619,121.5146947
三味香,臺北市中正區桃源街19號,25.0415572,121.5105702
777咖啡,臺北市中正區市民大道100號,25.0487071,121.5142185
COFFEE TO (國家攝影文化中心門市),臺北市中正區忠孝西路一段70號1樓,25.0466999,121.514495
桃山 Momoyama,臺北市中正區忠孝東路一段12號2樓,25.0445802,121.5224401
鉄火燒肉 微風北車店,臺北市中正區北平西路3號2樓,25.0477467,121.5169983
A Small Place,臺北市中正區牯嶺街95巷51號,25.0257857,121.5203749
人性甜點,臺北市中正區羅斯福路三段286巷4弄1號,25.0159256,121.532056
請客樓 (喜來登大飯店),臺北市中正區忠孝東路一段12號17樓,25.0445802,121.5224401
小菜館 韓式拌飯,臺北市中正區羅斯福路二段30巷9號,25.0281384,121.5208586
東北之家酸菜白肉鍋 青島店,臺北市中正區青島東路5號,25.044071,121.5220537
東雛菊-風味鍋物,臺北市中正區汀州路三段127號,25.0163858,121.530596
捲捲村,臺北市中正區中華路二段313巷5弄20之1號,25.0282771,121.5061166
SUKHOTHAI 蘇可泰泰 (喜來登大飯店),臺北市中正區忠孝東路一段12號,25.0445802,121.5224401
秘魯烤雞 Polleria,臺北市中正區牯嶺街61之5號,25.0292041,121.5171752
貳樓餐廳Second Floor Cafe 仁愛店,臺北市中正區仁愛路二段108號,25.0379274,121.5324046
麵屋武藏 本店,臺北市中正區忠孝西路一段36號B1,25.0460142,121.516942
蘇杭餐廳,臺北市中正區濟南路一段2之1號,25.0429232,121.5198047
黑滷魯肉飯,臺北市中正區汀州路二段238號,25.0217729,121.5244071
勝十蘭拉麵,中正區南陽街13-2號,25.045004,121.5161754
佳園排骨麵,臺北市中正區林森南路59之2號,25.0399269,121.5222094
Q丸和洋食堂(台北站前店),臺北市中正區忠孝西路一段47號B1樓,25.0465183,121.5174415
人从众 台北公館店,臺北市中正區汀州路三段127號1樓,25.0163858,121.530596
辰園 (喜來登),臺北市中正區忠孝東路一段12號B1,25.0447021,121.5219894
勺勺客 陜西餐館,臺北市中正區杭州南路一段27號,25.0420021,121.5264035
阿亮水餃,臺北市中正區中華路二段309巷15號,25.0289474,121.5057989
Hoo. Donut 呼點甜甜圈,臺北市中正區南昌路二段7之2號,25.028439,121.519429
阿泉麵線,臺北市中正區許昌街26之3號,25.0454432,121.5163986
鄭記豬腳飯,臺北市中正區延平南路22號,25.0468864,121.5108506
WingsCoffee_Bar,臺北市中正區三元街38號,25.0299194,121.5082761
赤神日式豬排,臺北市中正區羅斯福路3段286巷4弄14號,25.0157941,121.5318107
汪記餅家-手作燒餅(南機場店),臺北市中正區中華路二段309巷35號南機場夜市,25.0291603,121.5059145
何太守港式菠蘿包專賣店,臺北市中正區汀州路三段167號,25.0152642,121.5323292
騰堂麵包茶飲,臺北市中正區汀州路三段135號,25.0161423,121.5309657
賢夫美食,臺北市中正區羅斯福路四段92號79攤,25.0135188,121.534971
南機場夜市車輪餅,臺北市中正區中華路二段327號一樓,25.027681,121.5064552
旺來甜冰品-Wang Lai Ice Shop,臺北市中正區羅斯福路四段92號水源市場一樓100號,25.01371,121.534983
友蓁豆花店,臺北市中正區同安街63之2號,25.0239797,121.5216868
蘇杭点心店,臺北市中正區羅斯福路二段14號,25.0286513,121.52092
蜀來飽川味小吃,臺北市中正區汀州路二段96號1樓,25.0248971,121.5193665
好佳蚵嗲,臺北市中正區中華路二段315巷4弄南機場夜市,25.0291603,121.5059145
王記排骨酥湯,臺北市中正區汀州路二段81號1F,25.0255769,121.517245
GinGin Coffee Company,臺北市中正區臨沂街27巷9號1樓,25.0409661,121.5312619
U & me 找咖,臺北市中正區羅斯福路二段66巷8號1樓,25.0274397,121.5212824
鑫耀鑫,臺北市中正區公園路20巷12號,25.04507,121.5165803
居食屋「和民」 站前店,臺北市中正區館前路6號2樓,25.0460957,121.5148151
南機場汕頭乾麵,臺北市中正區中華路二段311巷,25.0287032,121.5062855
黃龍莊,臺北市中正區牯嶺街43號,25.0299998,121.5166002
阿榮羊肉飯,臺北市中正區三元街262號,25.0273075,121.5137972
Pizzapub比薩屋 (喜來登大飯店),臺北市中正區忠孝東路一段12號,25.0445802,121.5224401
特有種商行,臺北市中正區臨沂街27巷4之1號,25.0408636,121.5309843
Doze,臺北市中正區同安街85之8號,25.0229175,121.5209467
open it. 瑪德蓮專門品牌q 微風北車店,臺北市中正區北平西路3號,25.0473199,121.5160463
新馬辣經典鴛鴦鍋-公館店,臺北市中正區汀州路三段295號,25.011975,121.5357848
恆記港式燒臘,臺北市中正區開封街一段29號,25.045859,121.5143519
桔子早午餐,臺北市中正區青島東路21之8號,25.04344,121.5241354
bonniesugar手作甜點店 森林店,臺北市中正區北平東路9號,25.0465885,121.5234397
niko bakery 日香高級吐司專門店 華山店,臺北市中正區忠孝東路二段23號1樓,25.0439449,121.527723
悄悄好食 杭州南店,臺北市中正區杭州南路一段11巷4號,25.0431724,121.5272432
